Система автоматизации,AS
Абонент,ГПА-32
Ретросистема,Архив останова
Дата,27.09.23
Время,12:57:39
Длительность архива (сек),3600.00
Время предыстории (сек),1200.00

Дата,Время,Статус,Сообщение,Тип,Флаги
27.09.2023,12:37:41.546,Изменен,"PULT1_2ST. СВ_Лисовой: 60.0 -> 61.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
27.09.2023,12:40:08.833,Изменен,"PULT1_2ST. СВ_Лисовой: 61.0 -> 50.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
27.09.2023,12:40:47.394,Изменен,"PULT1_3ST. СВ_Лисовой: 50.0 -> 39.5 : 'Задание на АПК при ДУ, %'",Изменение настроек,
27.09.2023,12:41:10.287,Изменен,"PULT1_3ST. СВ_Лисовой: 39.5 -> 25.5 : 'Задание на АПК при ДУ, %'",Изменение настроек,
27.09.2023,12:41:50.765,Изменен,"PULT1_2ST. СВ_Лисовой: 8300.0 -> 7600.0 : 'Задание на частоту вращения, об/мин'",Изменение настроек,
27.09.2023,12:42:29.678,Изменен,"PULT1_2ST. СВ_Лисовой: 7600.0 -> 7100.0 : 'Задание на частоту вращения, об/мин'",Изменение настроек,
27.09.2023,12:42:45.326,Изменен,"PULT1_2ST. СВ_Лисовой: 7100.0 -> 6700.0 : 'Задание на частоту вращения, об/мин'",Изменение настроек,
27.09.2023,12:43:11.765,Пришло,"Стабилизация dPг на кране 2",Фаза технологического процесса,
27.09.2023,12:43:12.564,Снялось,"Стабилизация dPг на кране 2",Фаза технологического процесса,
27.09.2023,12:44:05.768,Пришло,"Стабилизация dPг на кране 2",Фаза технологического процесса,
27.09.2023,12:44:06.567,Снялось,"Стабилизация dPг на кране 2",Фаза технологического процесса,
27.09.2023,12:46:40.526,Снялось,"Включить ЭНБГ",Выход,
27.09.2023,12:46:40.922,Снялось,"ЭНБГ включен",Вход,
27.09.2023,12:47:04.945,Нажата кнопка,"ДУ АПРК отключить",Кнопка,
27.09.2023,12:47:05.720,Пришло,"Кран  № 6р (АПК) открыт",Вход,
27.09.2023,12:48:17.338,Пришло,"Включить ЭНБГ",Выход,
